Human	Mouse	Rat
SELENON	Selenon	Selenon
RRP7A	Rrp7a	Rrp7a
WIPI2	Wipi2	Wipi2
GLT8D2	Glt8d2	Glt8d2
NAA15	Naa15	Naa15
MANF	Manf	Manf
USP38	Usp38	Usp38
MSS51	Mss51	Mss51
MEIKIN	Meikin	Meikin
FAM228A	Fam228a	Fam228a
TMEM65	Tmem65	Tmem65
MORN3	Morn3	Morn3
CCDC181	Ccdc181	Ccdc181
KBTBD11	Kbtbd11	Kbtbd11
CYLC2	Cylc2	Cylc2
ATP6V1E2	Atp6v1e2	Atp6v1e2
IQCA1	Iqca1	Iqca1
SLC35F6	Slc35f6	Slc35f6
ODAD2	Odad2	Odad2
LRRIQ1	Lrriq1	Lrriq1
USP47	Usp47	Usp47
RAB11FIP2	Rab11fip2	Rab11fip2
TMPRSS12	Tmprss12	Tmprss12
MINDY1	Mindy1	Mindy1
RNASE10	Rnase10	Rnase10
PURG	Purg	Purg
MEI4	Mei4	Mei4
EFCAB10	Efcab10	Efcab10
KIF27	Kif27	Kif27
CFAP210	Cfap210	Cfap210
SF3A3	Sf3a3	Sf3a3
ZCCHC13	Zcchc13	Zcchc13
ZBTB49	Zbtb49	Zbtb49
USP50	Usp50	Usp50
CIMIP6	Cimip6	Cimip6
BLTP3B	Bltp3b	Bltp3b
LYSMD4	Lysmd4	Lysmd4
MMD2	Mmd2	Mmd2
ZC2HC1B	Zc2hc1b	Zc2hc1b
NXNL2	Nxnl2	Nxnl2
RPRD2	Rprd2	Rprd2
RASD2	Rasd2	Rasd2
MFSD13A	Mfsd13a	Mfsd13a
CCDC146	Ccdc146	Ccdc146
TEX38	Tex38	Tex38
MEIOB	Meiob	Meiob
TMEM269	Tmem269	Tmem269
ANKRD7	Ankrd7	Ankrd7
SPACA6	Spaca6	Spaca6
PRR3	Prr3	Prr3
RNF121	Rnf121	Rnf121
CEP128	Cep128	Cep128
DUSP18	Dusp18	Dusp18
DPP3	Dpp3	Dpp3
RNF19B	Rnf19b	Rnf19b
TOMM20L	Tomm20l	Tomm20l
ERICH6B	Erich6b	Erich6b
PELP1	Pelp1	Pelp1
PPP1R1C	Ppp1r1c	Ppp1r1c
BCDIN3D	Bcdin3d	Bcdin3d
SLC35F4	Slc35f4	Slc35f4
ZBTB3	Zbtb3	Zbtb3
PRKD3	Prkd3	Prkd3
CEP43	Cep43	Cep43
ASXL2	Asxl2	Asxl2
C17orf100	4930563E22Rik	C10h17orf100
ANKRD53	Ankrd53	Ankrd53
C11orf65	4930550C14Rik	C8h11orf65
TAF1D	Taf1d	Taf1d
PARPBP	Parpbp	Parpbp
ETNK1	Etnk1	Etnk1
C21orf140	Fam243	C11h21orf140
ATF7IP2	Atf7ip2	Atf7ip2
CCDC83	Ccdc83	Ccdc83
MPHOSPH8	Mphosph8	Mphosph8
SLAMF7	Slamf7	Slamf7
C1orf105	4930558K02Rik	C13h1orf105
SIRT4	Sirt4	Sirt4
BOLL	Boll	Boll
SPP2	Spp2	Spp2
MRPL32	Mrpl32	Mrpl32
DEFB116	Defb29	Defb29
ARHGAP36	Arhgap36	Arhgap36
NDUFS7	Ndufs7	Ndufs7
SLITRK5	Slitrk5	Slitrk5
KMT2B	Kmt2b	Kmt2b
ARHGAP12	Arhgap12	Arhgap12
NOP14	Nop14	Nop14
SECISBP2	Secisbp2	Secisbp2
METTL5	Mettl5	Mettl5
ARL5A	Arl5a	Arl5a
TTI1	Tti1	Tti1
IGFBPL1	Igfbpl1	Igfbpl1
CFAP144	Cfap144	Cfap144
ANAPC15	Anapc15	Anapc15
CIMIP2C	Cimip2c	Cimip2c
CFAP97D1	Cfap97d1	Cfap97d1
CCDC192	Ccdc192	NA
ASCC2	Ascc2	Ascc2
PHPT1	Phpt1	Phpt1
PRPS1L1	Prps1l1	Prps1l1
SYCE3	Syce3	Syce3
CIMIP3	Cimip3	Cimip3
DYNLRB2	Dynlrb2	Dynlrb2
STPG4	Stpg4	Stpg4
SPATA19	Spata19	Spata19
IQCF5	Iqcf5	NA
CFAP126	Cfap126	Cfap126
OPLAH	Oplah	Oplah
PFN3	Pfn3	Pfn3
C20orf144	1700003F12Rik	C3h20orf144
HSPB9	Hspb9	Hspb9
COX8C	Cox8c	Cox8c
MORN5	Morn5	Morn5
FABP12	Fabp12	Fabp12
CFAP276	Cfap276	Cfap276
POU5F2	Pou5f2	Pou5f2
IZUMO2	Izumo2	Izumo2
GPX6	Gpx6	Gpx6
TTC32	Ttc32	Ttc32
TEX48	Tex48	Tex48
EPPIN	Eppin	Eppin
TEX29	Tex29	Tex29
LYRM7	Lyrm7	Lyrm7
NME5	Nme5	Nme5
GARIN5A	Garin5a	Garin5a
FPGT	Fpgt	Fpgt
AKAP13	Akap13	Akap13
PAQR9	Paqr9	Paqr9
ZC3H14	Zc3h14	Zc3h14
CFAP161	Cfap161	Cfap161
SPATA45	Spata45	Spata45
EP400	Ep400	Ep400
DNALI1	Dnali1	Dnali1
RSPH9	Rsph9	Rsph9
SGF29	Sgf29	Sgf29
CAPSL	Capsl	Capsl
NHEJ1	Nhej1	Nhej1
SPATA9	Spata9	Spata9
ACYP2	Acyp2	Acyp2
PRR29	Prr29	Prr29
FGGY	Fggy	Fggy
ZBTB4	Zbtb4	Zbtb4
YIPF7	Yipf7	Yipf7
DUSP9	Dusp9	Dusp9
MALSU1	Malsu1	Malsu1
NDUFAF2	Ndufaf2	Ndufaf2
PCDH1	Pcdh1	Pcdh1
CALML4	Calml4	Calml4
TM4SF5	Tm4sf5	Tm4sf5
KDM5B	Kdm5b	Kdm5b
WNK2	Wnk2	Wnk2
CHMP4B	Chmp4b	Chmp4b
GNS	Gns	Gns
MED25	Med25	Med25
SMIM15	Smim15	Smim15
RPS25	Rps25	Rps25
FASTKD2	Fastkd2	Fastkd2
KXD1	Kxd1	Kxd1
SPACA3	Spaca3	Spaca3
TEX30	Tex30	Tex30
METAP1	Metap1	Metap1
MAGEH1	Mageh1	Mageh1
SNAPC1	Snapc1	Snapc1
FREY1	Frey1	Frey1
SPATA25	Spata25	Spata25
CCDC172	Ccdc172	Ccdc172
RAI14	Rai14	Rai14
SSMEM1	Ssmem1	Ssmem1
C20orf141	1700020A23Rik	LOC129351010
WDR54	Wdr54	Wdr54
LIN37	Lin37	Lin37
BICDL1	Bicdl1	Bicdl1
TMEM225	Tmem225	Tmem225
RASL10A	Rasl10a	NA
PIK3R4	Pik3r4	Pik3r4
TEX22	Tex22	Tex22
IPPK	Ippk	Ippk
NUDT16	Nudt16	Nudt16
RIPOR1	Ripor1	Ripor1
HIGD1B	Higd1b	Higd1b
VSIG10L	Vsig10l	Vsig10l
ANKS6	Anks6	Anks6
NR2C2AP	Nr2c2ap	Nr2c2ap
RILPL1	Rilpl1	Rilpl1
SHLD2	Shld2	Shld2
EIF4B	Eif4b	Eif4b
KRT24	Krt24	Krt24
RBM12	Rbm12	Rbm12
TMEM14A	Tmem14a	Tmem14a
VWA5B1	Vwa5b1	Vwa5b1
AMOTL1	Amotl1	Amotl1
PHF14	Phf14	Phf14
FAM227A	Fam227a	Fam227a
IDNK	Idnk	Idnk
IQCD	Iqcd	Iqcd
MFF	Mff	Mff
PANK1	Pank1	Pank1
BCL2L12	Bcl2l12	Bcl2l12
MPP7	Mpp7	Mpp7
SVIP	Svip	Svip
MORC4	Morc4	Morc4
SESN3	Sesn3	Sesn3
SLC10A6	Slc10a6	Slc10a6
IPO4	Ipo4	Ipo4
KLF17	Klf17	Klf17
C8orf76	9130401M01Rik	C7h8orf76
DCAF17	Dcaf17	Dcaf17
SLX1A	Slx1b	NA
DCSTAMP	Dcstamp	Dcstamp
RAB11FIP1	Rab11fip1	Rab11fip1
PLPPR5	Plppr5	Plppr5
BRSK2	Brsk2	Brsk2
PNPLA5	Pnpla5	Pnpla5
ADAD2	Adad2	Adad2
TTC23L	Ttc23l	Ttc23l
THEM4	Them4	Them4
LCA5	Lca5	Lca5
CFAP299	Cfap299	Cfap299
KLHL24	Klhl24	Klhl24
CKAP5	Ckap5	Ckap5
SMURF1	Smurf1	Smurf1
CDYL2	Cdyl2	Cdyl2
C8orf89	4930444P10Rik	C5h8orf89
C14orf39	4930447C04Rik	Six6os1
NLN	Nln	Nln
SAXO1	Saxo1	Saxo1
TASP1	Tasp1	Tasp1
WDR64	Wdr64	Wdr64
FAM227B	Fam227b	Fam227b
SENP2	Senp2	Senp2
HORMAD2	Hormad2	Hormad2
RNF139	Rnf139	Rnf139
CRPPA	Crppa	Crppa
TEX26	Tex26	Tex26
CLEC4G	Clec4g	Clec4g
ARL5B	Arl5b	Arl5b
ZNF821	Zfp821	Zfp821
GSTT4	Gstt4	Gstt4
MAPDA	Adal	Mapda
DCP1A	Dcp1a	Dcp1a
DIPK2B	Dipk2b	Dipk2b
FAM184A	Fam184a	Fam184a
VMP1	Vmp1	Vmp1
EXOC6B	Exoc6b	Exoc6b
C4orf46	4930579G24Rik	C2h4orf46
SAMD7	Samd7	Samd7
SRRM2	Srrm2	Srrm2
TRAPPC8	Trappc8	Trappc8
ZDHHC20	Zdhhc20	Zdhhc20
DOCK11	Dock11	Dock11
RAB30	Rab30	Rab30
AGMAT	Agmat	Agmat
SLAIN2	Slain2	Slain2
MS4A18	Ms4a18	Ms4a18
ZMYM2	Zmym2	Zmym2
ZC3H18	Zc3h18	Zc3h18
GON4L	Gon4l	Gon4l
CANT1	Cant1	Cant1
CCDC125	Ccdc125	Ccdc125
NCAPG2	Ncapg2	Ncapg2
OGA	Oga	Oga
JAKMIP1	Jakmip1	Jakmip1
RNF183	Rnf183	Rnf183
PCGF5	Pcgf5	Pcgf5
TTPAL	Ttpal	Ttpal
DOCK8	Dock8	Dock8
RAPGEF2	Rapgef2	Rapgef2
RAP2A	Rap2a	Rap2a
LPO	Lpo	Lpo
ARHGAP15	Arhgap15	Arhgap15
GPSM2	Gpsm2	Gpsm2
LAS1L	Las1l	Las1l
DEPDC1	Depdc1a	Depdc1
FAXC	Faxc	Faxc
MCUR1	Mcur1	Mcur1
CCDC138	Ccdc138	Ccdc138
PPP1R14C	Ppp1r14c	Ppp1r14c
FAM131B	Fam131b	Fam131b
SLC35D3	Slc35d3	Slc35d3
LAMP5	Lamp5	Lamp5
CPLANE2	Cplane2	Cplane2
SNRNP35	Snrnp35	Snrnp35
COA5	Coa5	Coa5
USP31	Usp31	Usp31
CELF6	Celf6	Celf6
ADHFE1	Adhfe1	Adhfe1
ABHD12	Abhd12	Abhd12
MED13L	Med13l	Med13l
STARD3NL	Stard3nl	Stard3nl
JAKMIP2	Jakmip2	Jakmip2
AGBL3	Agbl3	Agbl3
DNTTIP1	Dnttip1	Dnttip1
TMEM275	Tmem275	Tmem275
GRHPR	Grhpr	Grhpr
RTF1	Rtf1	Rtf1
ERCC6L2	Ercc6l2	Ercc6l2
ATP6V0E2	Atp6v0e2	Atp6v0e2
SLC38A3	Slc38a3	Slc38a3
TTC8	Ttc8	Ttc8
PGCKA1	Pgcka1	Pgcka1
GSTK1	Gstk1	Gstk1
TSEN54	Tsen54	Tsen54
FADS1	Fads1	Fads1
NDFIP2	Ndfip2	Ndfip2
TAX1BP3	Tax1bp3	Tax1bp3
GPT	Gpt	Gpt
MFAP4	Mfap4	Mfap4
ASB5	Asb5	Asb5
ATP11B	Atp11b	Atp11b
ERP44	Erp44	Erp44
PCNP	Pcnp	Pcnp
OSBP	Osbp	Osbp
SLC18B1	Slc18b1	Slc18b1
RAB1B	Rab1b	Rab1b
COG2	Cog2	Cog2
RAB2B	Rab2b	Rab2b
TGDS	Tgds	Tgds
TRMT5	Trmt5	Trmt5
TBX18	Tbx18	Tbx18
MTIF3	Mtif3	Mtif3
DET1	Det1	Det1
SLC24A2	Slc24a2	Slc24a2
ROPN1	Ropn1	Ropn1
CEP112	Cep112	Cep112
IL31	Il31	Il31
C16orf95	1700018B08Rik	C19h16orf95
SAXO5	Saxo5	Saxo5
SUN5	Sun5	Sun5
ABCC3	Abcc3	Abcc3
IFT43	Ift43	Ift43
FAM187B	Fam187b	Fam187b
POLR1HASP	Polr1has	Znrd1as1
C1orf146	1700028K03Rik	C14h1orf146
GID8	Gid8	Gid8
LHPP	Lhpp	Lhpp
RFTN1	Rftn1	Rftn1
DAAM2	Daam2	Daam2
PPP1R18	Ppp1r18	Ppp1r18
PRSS23	Prss23	Prss23
FBXO31	Fbxo31	Fbxo31
CCDC134	Ccdc134	Ccdc134
CA12	Car12	Car12
KNL1	Knl1	Knl1
MSRB2	Msrb2	Msrb2
CMYA5	Cmya5	Cmya5
PCOLCE2	Pcolce2	Pcolce2
HAUS8	Haus8	Haus8
SMNDC1	Smndc1	Smndc1
RMC1	Rmc1	Rmc1
LMF1	Lmf1	Lmf1
KNDC1	Kndc1	Kndc1
GLT8D1	Glt8d1	Glt8d1
LY6K	Ly6k	Ly6k
PPP1R3G	Ppp1r3g	Ppp1r3g
ABHD14B	Abhd14b	Abhd14b
PPP1R11	Ppp1r11	Ppp1r11
PAQR4	Paqr4	Paqr4
CLASP2	Clasp2	Clasp2
COMMD9	Commd9	Commd9
SMIM45	Smim45	Smim45
PLET1	Plet1	Plet1
TRAPPC9	Trappc9	Trappc9
LSM8	Lsm8	Lsm8
CLN6	Cln6	Cln6
IL34	Il34	Il34
FAM204A	Fam204a	Fam204a
TMEM101	Tmem101	Tmem101
CCDC6	Ccdc6	Ccdc6
ATG2B	Atg2b	Atg2b
PRSS8	Prss8	Prss8
SNX7	Snx7	Snx7
QRSL1	Qrsl1	Qrsl1
RFLNB	Rflnb	Rflnb
IFT46	Ift46	Ift46
STYXL1	Styxl1	Styxl1
RBMXL2	Rbmxl2	Rbmxl2
SPATC1L	Spatc1l	Spatc1l
MFSD2A	Mfsd2a	Mfsd2a
FAF2	Faf2	Faf2
MIB2	Mib2	Mib2
IPO11	Ipo11	Ipo11
UNC5CL	Unc5cl	Unc5cl
DNAJC18	Dnajc18	Dnajc18
LLCFC1	Llcfc1	Llcfc1
HECTD3	Hectd3	Hectd3
LRRC27	Lrrc27	Lrrc27
IMMT	Immt	Immt
GOT1L1	Got1l1	Got1l1
MSI2	Msi2	Msi2
PRR30	Prr30	Prr30
TMEM270	Tmem270	Tmem270
STAMBPL1	Stambpl1	Stambpl1
LRMDA	Lrmda	Lrmda
C12orf42	1700113H08Rik	C7h12orf42
WDR38	Wdr38	Wdr38
SRXN1	Srxn1	Srxn1
ACTRT3	Actrt3	Actrt3
CBY3	Cby3	Cby3
UPP2	Upp2	Upp2
MDH1B	Mdh1b	Mdh1b
CFAP70	Cfap70	Cfap70
CLIP3	Clip3	Clip3
SPCS3	Spcs3	Spcs3
ARFRP1	Arfrp1	Arfrp1
CLASP1	Clasp1	Clasp1
ARPC2	Arpc2	Arpc2
KANSL1	Kansl1	Kansl1
CKMT2	Ckmt2	Ckmt2
CRELD2	Creld2	Creld2
EFR3A	Efr3a	Efr3a
SNX27	Snx27	Snx27
GJE1	Gje1	Gje1
DAPL1	Dapl1	Dapl1
MOSPD2	Mospd2	Mospd2
ALPI	Alpi	NA
NTAQ1	Ntaq1	Ntaq1
SLC10A7	Slc10a7	Slc10a7
CLUAP1	Cluap1	Cluap1
METTL4	Mettl4	Mettl4
MTIF2	Mtif2	Mtif2
PPFIA3	Ppfia3	Ppfia3
KLHDC10	Klhdc10	Klhdc10
MZT1	Mzt1	Mzt1
SPRING1	Spring1	Spring1
SNIP1	Snip1	Snip1
TBC1D9B	Tbc1d9b	Tbc1d9b
TMEM234	Tmem234	Tmem234
USP42	Usp42	Usp42
KDM4C	Kdm4c	Kdm4c
RPL18A	Rpl18a	Rpl18a
BRI3BP	Bri3bp	Bri3bp
ARMC6	Armc6	Armc6
CALCOCO2	Calcoco2	Calcoco2
SDCCAG8	Sdccag8	Sdccag8
CYRIA	Cyria	Cyria
MTFR1L	Mtfr1l	Mtfr1l
NUBPL	Nubpl	Nubpl
DOK5	Dok5	Dok5
HYLS1	Hyls1	Hyls1
DTL	Dtl	Dtl
RPS9	Rps9	Rps9
AGO4	Ago4	Ago4
GPER1	Gper1	Gper1
CATSPER3	Catsper3	Catsper3
SPOPL	Spopl	Spopl
NLRP14	Nlrp14	Nlrp14
DCUN1D5	Dcun1d5	Dcun1d5
MORN1	Morn1	Morn1
RHBDD1	Rhbdd1	Rhbdd1
CCDC116	Ccdc116	Ccdc116
RAB36	Rab36	Rab36
CYFIP2	Cyfip2	NA
FAM81A	Fam81a	Fam81a
COQ8B	Coq8b	Coq8b
MEMO1	Memo1	Memo1
RNFT1	Rnft1	Rnft1
CERS2	Cers2	Cers2
METTL15	Mettl15	Mettl15
BICD2	Bicd2	Bicd2
RALYL	Ralyl	Ralyl
B3GAT1	B3gat1	B3gat1
GOLGA1	Golga1	Golga1
SSBP4	Ssbp4	Ssbp4
JADE2	Jade2	Jade2
LRG1	Lrg1	Lrg1
MND1	Mnd1	Mnd1
TIMMDC1	Timmdc1	Timmdc1
FLYWCH2	Flywch2	Flywch2
ARRDC5	Arrdc5	Arrdc5
SPATA46	Spata46	Spata46
TSACC	Tsacc	Tsacc
ARFIP2	Arfip2	Arfip2
IFI27L2	Ifi27l2a	NA
HNRNPM	Hnrnpm	Hnrnpm
RBM17	Rbm17	Rbm17
LYPD5	Lypd5	Lypd5
PSAPL1	Psapl1	Psapl1
NDUFAF6	Ndufaf6	Ndufaf6
NT5C2	Nt5c2	Nt5c2
DENND2B	Dennd2b	Dennd2b
CHMP5	Chmp5	Chmp5
BCAS1	Bcas1	Bcas1
C21orf58	2610028H24Rik	C20h21orf58
SLITRK1	Slitrk1	Slitrk1
KIAA0586	2700049A03Rik	Kiaa0586
CHST1	Chst1	Chst1
UBE2QL1	Ube2ql1	Ube2ql1
VXN	Vxn	Vxn
HDHD2	Hdhd2	Hdhd2
DDRGK1	Ddrgk1	Ddrgk1
TICRR	Ticrr	Ticrr
MPPED2	Mpped2	Mpped2
COL25A1	Col25a1	Col25a1
SLC9A8	Slc9a8	Slc9a8
KIAA2013	2510039O18Rik	2510039O18Rikl
KDM8	Kdm8	Kdm8
MRAP	Mrap	Mrap
ARFGAP2	Arfgap2	Arfgap2
ATG16L1	Atg16l1	Atg16l1
ARSK	Arsk	Arsk
HYAL4	Hyal4	Hyal4
ARID2	Arid2	Arid2
BCL7A	Bcl7a	Bcl7a
CEP83	Cep83	Cep83
SUN1	Sun1	Sun1
TMCO4	Tmco4	Tmco4
STON1	Ston1	Ston1
CCDC183	Ccdc183	Ccdc183
INTS7	Ints7	Ints7
ANKRD11	Ankrd11	Ankrd11
OCEL1	Ocel1	Ocel1
TANC2	Tanc2	Tanc2
TMEM181	Tmem181a	Tmem181
GPBP1L1	Gpbp1l1	Gpbp1l1
KLHL2	Klhl2	Klhl2
MTMR2	Mtmr2	Mtmr2
IL33	Il33	Il33
CREBRF	Crebrf	Crebrf
HNRNPA0	Hnrnpa0	Hnrnpa0
PTGR2	Ptgr2	Ptgr2
TMEM200A	Tmem200a	Tmem200a
C10orf143	9430038I01Rik	C1h10orf143
YIF1B	Yif1b	Yif1b
ZNF142	Zfp142	Zfp142
NKRF	Nkrf	Nkrf
FAM162B	Fam162b	NA
RAPH1	Raph1	Raph1
WDR82	Wdr82	Wdr82
ANKRD55	Ankrd55	Ankrd55
AXDND1	Axdnd1	Axdnd1
SEC24A	Sec24a	Sec24a
RAB35	Rab35	Rab35
ESRP2	Esrp2	Esrp2
C5orf63	C330018D20Rik	C18h5orf63
HEG1	Heg1	Heg1
TMEM116	Tmem116	Tmem116
KIDINS220	Kidins220	Kidins220
STK31	Stk31	Stk31
DNHD1	Dnhd1	Dnhd1
MTUS2	Mtus2	Mtus2
TMEM213	Tmem213	Tmem213
ANKS1B	Anks1b	Anks1b
JRKL	Jrkl	Jrkl
SHISA4	Shisa4	Shisa4
AGL	Agl	Agl
LIMCH1	Limch1	Limch1
TCAF1	Tcaf1	Tcaf1
SPNS3	Spns3	Spns3
BCL9	Bcl9	Bcl9
MYH10	Myh10	Myh10
MBOAT7	Mboat7	Mboat7
NOTUM	Notum	Notum
CHST15	Chst15	Chst15
DDX10	Ddx10	Ddx10
USP45	Usp45	Usp45
NUP210L	Nup210l	Nup210l
ADGRF1	Adgrf1	Adgrf1
RBM12B	Rbm12b2	Rbm12b
H2AZ2	H2az2	H2az2
ODAD3	Odad3	Odad3
PRSS36	Prss36	Prss36
PRELID2	Prelid2	Prelid2
APEX2	Apex2	Apex2
SMPD4	Smpd4	Smpd4
EFCAB6	Efcab6	Efcab6
SPHKAP	Sphkap	Sphkap
PRDM8	Prdm8	Prdm8
SNAPC3	Snapc3	Snapc3
STEEP1	Steep1	Steep1
TRAT1	Trat1	Trat1
ARHGEF38	Arhgef38	Arhgef38
DEFB110	Defb41	Defb17
EHMT1	Ehmt1	Ehmt1
MMAB	Mmab	Mmab
LCN12	Lcn12	Lcn12
LCN9	Lcn9	Lcn9
ABCB5	Abcb5	Abcb5
SMIM41	Smim41	Smim41
MRPS5	Mrps5	Mrps5
C17orf99	6030468B19Rik	C10h17orf99
RNF170	Rnf170	Rnf170
ADAMTSL1	Adamtsl1	Adamtsl1
BORA	Bora	Bora
ELP4	Elp4	Elp4
ERMN	Ermn	Ermn
CSRNP3	Csrnp3	Csrnp3
DCST1	Dcst1	Dcst1
ULBP1	Ulbp1	Ulbp1
EPM2AIP1	Epm2aip1	Epm2aip1
POLQ	Polq	Polq
ADAMTSL2	Adamtsl2	Adamtsl2
SLA2	Sla2	Sla2
SHISAL2B	Shisal2b	Shisal2b
ESCO1	Esco1	Esco1
LRRC42	Lrrc42	Lrrc42
KRBA1	Krba1	Krba1
TCHP	Tchp	Tchp
MLANA	Mlana	Mlana
MSL2	Msl2	Msl2
THYN1	Thyn1	Thyn1
YPEL2	Ypel2	Ypel2
C5orf22	6030458C11Rik	C2h5orf22
LBH	Lbh	Lbh
UBE2S	Ube2s	Ube2s
KRTAP17-1	Krtap17-1	Krtap17-1
YIPF6	Yipf6	Yipf6
FAM53B	Fam53b	Fam53b
RPGRIP1	Rpgrip1	Rpgrip1
CYP20A1	Cyp20a1	Cyp20a1
HOOK1	Hook1	Hook1
RDH12	Rdh12	Rdh12
TMEM50B	Tmem50b	Tmem50b
NUAK1	Nuak1	Nuak1
SBF1	Sbf1	Sbf1
ASCC3	Ascc3	Ascc3
GRIFIN	Grifin	Grifin
PRR15	Prr15	Prr15
CCDC150	Ccdc150	Ccdc150
MCCC2	Mccc2	Mccc2
TMEM190	Tmem190	Tmem190
CPT1C	Cpt1c	Cpt1c
LCN8	Lcn8	Lcn8
SOWAHB	Sowahb	Sowahb
MSANTD4	Msantd4	Msantd4
PARTICL	Particl	NA
C16orf92	4930451I11Rik	C1h16orf92
LPAR4	Lpar4	Lpar4
COX7B2	Cox7b2	Cox7b2
NINL	Ninl	Ninl
TMEM210	Tmem210	Tmem210
TRAPPC6B	Trappc6b	Trappc6b
CST11	Cst11	Cst11
DNAJC21	Dnajc21	Dnajc21
ACBD7	Acbd7	Acbd7
PHF23	Phf23	Phf23
ARMCX1	Armcx1	Armcx1
ADGRF4	Adgrf4	NA
IQCH	Iqch	Iqch
NXPE2	Nxpe2	Nxpe2
RALGPS2	Ralgps2	Ralgps2
LRRC9	Lrrc9	Lrrc9
MROH9	Mroh9	Mroh9
ZNF687	Zfp687	Zfp687
KLHDC8B	Klhdc8b	Klhdc8b
MAP7D2	Map7d2	Map7d2
CREB3L4	Creb3l4	Creb3l4
NAV2	Nav2	Nav2
RBSN	Rbsn	Rbsn
RPS27A	Rps27a	Rps27a
NAA38	Naa38	Naa38
TSGA10IP	Tsga10ip	Tsga10ip
GPR108	Gpr108	Gpr108
CUL9	Cul9	Cul9
CCDC88B	Ccdc88b	Ccdc88b
ANKRD23	Ankrd23	Ankrd23
FAM219B	Fam219b	Fam219b
CDK19	Cdk19	Cdk19
TTYH3	Ttyh3	Ttyh3
ICAM4	Icam4	Icam4
SNRNP25	Snrnp25	Snrnp25
NUDT17	Nudt17	Nudt17
SAPCD1	Sapcd1	Sapcd1
LCE6A	Lce6a	Lce6a
PLA2G4D	Pla2g4d	Pla2g4d
DDX52	Ddx52	Ddx52
FAM131A	Fam131a	Fam131a
CYREN	Cyren	Cyren
ZNF475	1700034E13Rik	Zfp475
RNASE6	Rnase6	Rnase6
PYM1	Pym1	Pym1
PGPEP1L	Pgpep1l	Pgpep1l
HELZ	Helz	Helz
CCDC190	Ccdc190	Ccdc190
TMEM247	Tmem247	Tmem247
SKAP1	Skap1	Skap1
TMSB15A	Tmsb15a	Tmsb15a
MICU3	Micu3	Micu3
ARHGAP10	Arhgap10	Arhgap10
C5orf24	B230219D22Rik	C17h5orf24
MRPL9	Mrpl9	Mrpl9
ASB8	Asb8	Asb8
HTRA3	Htra3	Htra3
ADGRA2	Adgra2	Adgra2
UTP23	Utp23	Utp23
SRBD1	Srbd1	Srbd1
NRIP3	Nrip3	Nrip3
PDE6H	Pde6h	Pde6h
UVRAG	Uvrag	Uvrag
BTBD19	Btbd19	Btbd19
ACAP2	Acap2	Acap2
ZNF449	Zfp449	Zfp449
SPACA7	Spaca7	Spaca7
LINC01750	Kcnd3os	NA
JADRR	2400006E01Rik	NA
LSM6	Lsm6	Lsm6
BOLA3	Bola3	Bola3
EIF3J	Eif3j1	Eif3j
BRD8	Brd8	Brd8
NCAPD3	Ncapd3	Ncapd3
PLEKHJ1	Plekhj1	Plekhj1
NOL3	Nol3	Nol3
PUS7	Pus7	Pus7
SPINK8	Spink8	Spink8
TROAP	Troap	Troap
RASSF10	Rassf10	Rassf10
FILIP1L	Filip1l	Filip1l
ZC3H6	Zc3h6	Zc3h6
CSGALNACT2	Csgalnact2	Csgalnact2
GALNT15	Galnt15	Galnt15
PABIR2	Pabir2	Pabir2
RICTOR	Rictor	Rictor
EFCAB11	Efcab11	Efcab11
MCTP1	Mctp1	Mctp1
HHIPL2	Hhipl2	Hhipl2
CFAP61	Cfap61	Cfap61
TEPSIN	Tepsin	Tepsin
SPATA2L	Spata2l	Spata2L
ZC3HAV1	Zc3hav1	Zc3hav1
BRPF1	Brpf1	Brpf1
CELF3	Celf3	Celf3
CLIP4	Clip4	Clip4
USP54	Usp54	Usp54
VSIG1	Vsig1	Vsig1
ARMC9	Armc9	Armc9
ZCCHC4	Zcchc4	Zcchc4
NDOR1	Ndor1	Ndor1
EML4	Eml4	Eml4
AK7	Ak7	Ak7
FBXO43	Fbxo43	Fbxo43
STPG1	Stpg1	Stpg1
STXBP5	Stxbp5	Stxbp5
C16orf96	4930562C15Rik	C10h16orf96
GMIP	Gmip	Gmip
DESI2	Desi2	Desi2
P2RY10	P2ry10	P2ry10
TSC22D4	Tsc22d4	Tsc22d4
SLC25A12	Slc25a12	Slc25a12
CACUL1	Cacul1	Cacul1
GINS3	Gins3	Gins3
ZNF623	Zfp623	Zfp623
FTX	Ftx	Ftx
CORO7	Coro7	Coro7
SFI1	Sfi1	Sfi1
WSB1	Wsb1	Wsb1
TRMT44	Trmt44	Trmt44
SCYL1	Scyl1	Scyl1
CRISPLD2	Crispld2	Crispld2
CNOT10	Cnot10	Cnot10
PUS7L	Pus7l	Pus7l
ECRG4	Ecrg4	Ecrg4
WRNIP1	Wrnip1	Wrnip1
MISP	Misp	Misp
IGSF3	Igsf3	Igsf3
ASB15	Asb15	Asb15
TRIM42	Trim42	Trim42
SP2	Sp2	Sp2
LTN1	Ltn1	Ltn1
NADSYN1	Nadsyn1	Nadsyn1
FNDC8	Fndc8	Fndc8
DLST	Dlst	Dlst
CHSY3	Chsy3	Chsy3
GAS2L1	Gas2l1	Gas2l1
PIGT	Pigt	Pigt
POLR3H	Polr3h	Polr3h
AGBL4	Agbl4	Agbl4
SAAL1	Saal1	Saal1
AVL9	Avl9	Avl9
